time,value
2024-04-24T11:43:04.82198209Z,false
2024-04-24T11:43:08.067804101Z,true
2024-04-24T11:43:11.276315041Z,false
2024-04-24T11:43:15.303741036Z,true
2024-04-24T11:44:57.237560645Z,false
2024-04-24T11:44:58.340419592Z,true
2024-04-24T11:47:30.577612Z,true
2024-04-24T11:55:19.095328522Z,false
2024-04-24T11:55:21.922587629Z,true
2024-04-24T12:07:21.283445969Z,false
2024-04-24T12:07:21.923207071Z,true
2024-04-24T12:09:15.203702644Z,true
2024-04-24T12:09:16.830607773Z,false
2024-04-24T12:09:31.458228579Z,false
2024-04-24T12:09:50.311444871Z,true
2024-04-24T12:10:09.699054279Z,true
2024-04-24T12:15:02.103823341Z,false
2024-04-24T12:15:02.934189805Z,true
2024-04-24T12:15:25.376775324Z,true
2024-04-24T12:16:03.678378448Z,false
2024-04-24T12:16:13.414805027Z,false
2024-04-24T12:19:39.048210319Z,true
2024-04-24T12:25:18.15370372Z,false
2024-04-24T12:25:18.925299446Z,true
2024-04-24T12:26:45.490367703Z,false
2024-04-24T12:27:01.333074491Z,true
2024-04-24T12:27:41.476562489Z,false
2024-04-24T12:27:42.760902704Z,true
2024-04-24T12:27:59.154215831Z,false
2024-04-24T12:28:00.102989183Z,true
2024-04-24T12:28:11.974455447Z,false
2024-04-24T12:28:13.910644364Z,true
2024-04-24T12:28:48.095948348Z,false
2024-04-24T12:36:05.306537857Z,false
2024-04-24T12:43:39.553509132Z,true
2024-04-24T12:48:46.667786697Z,false
2024-04-24T12:49:59.066098932Z,true
2024-04-24T12:53:42.148511715Z,false
2024-04-24T12:54:08.705311088Z,true
2024-04-24T12:54:39.502190677Z,true
2024-04-24T12:55:02.738776828Z,false
2024-04-24T12:55:20.318679962Z,false
2024-04-25T10:50:10.391196516Z,true
2024-04-25T10:54:46.172308721Z,false
2024-04-25T10:54:46.628523387Z,true
2024-04-25T10:56:26.978546275Z,false
2024-04-25T10:56:27.740783742Z,true
2024-04-25T10:56:52.784388062Z,false
2024-04-25T10:57:02.718641406Z,true
2024-04-25T10:57:25.488893809Z,true
2024-04-25T11:00:56.4417475Z,false
2024-04-25T11:00:59.363225336Z,true
2024-04-25T11:01:18.885349241Z,false
2024-04-25T11:03:39.9170148Z,false
2024-04-25T11:11:11.827007982Z,true
2024-04-25T11:11:50.876049789Z,false
2024-04-25T11:11:57.074456413Z,true
2024-04-25T11:12:12.975708473Z,true
2024-04-25T11:22:03.954859912Z,false
2024-04-25T11:22:04.782643122Z,true
2024-04-25T11:24:07.496237744Z,true
